eff_category,business_segment,to_norm,labels,Résultat 1,Siren
7.5,27,0.13928902926063058,3,-11685.0,311890644
7.5,15,0.16157299090769955,2,1596484.0,312031925
7.5,19,0.14148504363587813,2,146795.0,312046071
1.5,17,0.14148504363587813,4,146795.0,312046071
0.0,16,0.14148504363587813,4,146795.0,312046071
4.0,14,0.14127184400704448,0,131409.0,312097769
4.0,18,0.13808001581884155,2,-98936.0,312261696
7.5,19,0.14419148447204583,2,342111.0,312330590
0.0,24,0.13945206753132192,1,81.0,312331408
7.5,15,0.13946952700957035,2,1341.0,312477722
1.5,25,0.140131781647608,1,49134.0,312563349
0.0,16,0.13953408550890326,4,6000.0,312694870
7.5,15,0.13927094622958758,2,-12990.0,312800766
7.5,31,0.14308420713287584,3,262202.0,312952914
7.5,15,0.13955469046458216,2,7487.0,313002594
1.5,13,0.16455464023394037,0,1811661.0,313196768
4.0,14,0.16455464023394037,0,1811661.0,313196768
0.0,12,0.16455464023394037,0,1811661.0,313196768
0.0,16,0.14091486696050784,4,105647.0,313221848
4.0,22,0.14009425762610264,2,46426.0,313335556
1.5,13,0.13947800732757673,0,1953.0,313565434
7.5,19,0.12971351698256428,2,-702722.0,313730764
4.0,30,0.14721426056927184,3,560256.0,313873838
7.5,19,0.14064642055407378,2,86274.0,313967341
7.5,19,0.1404176459621042,2,69764.0,314007881
1.5,13,0.1394358828721202,0,-1087.0,314177080
4.0,30,0.14293151983857466,3,251183.0,314246497
4.0,30,0.14293151983857466,3,251183.0,314246497
4.0,30,0.14293151983857466,3,251183.0,314246497
7.5,19,0.13955444104346432,2,7469.0,314369950
7.5,23,0.13970265261437326,2,18165.0,314407768
4.0,18,0.14027320342142033,2,59340.0,314492505
1.5,29,0.1396596551850043,1,15062.0,314547449
7.5,19,0.13960706889932747,2,11267.0,314582271
7.5,31,0.1395089632596458,3,4187.0,314613126
7.5,27,0.1397004771079566,3,18008.0,314831793
7.5,23,0.14041533188839986,2,69597.0,314925926
1.5,17,0.13884080565515272,4,-44032.0,314938465
4.0,26,0.13948677863688727,1,2586.0,314971839
7.5,31,0.14032415461310246,3,63017.0,314972332
0.0,12,0.14148981035057454,0,147139.0,315067363
7.5,19,0.13995459565684393,2,36347.0,315130732
7.5,23,0.13957562798175152,2,8998.0,315331991
4.0,18,0.14130019487410503,2,133455.0,315383323
4.0,30,0.14054088770777212,3,78658.0,315431643
4.0,22,0.13949823815157888,2,3413.0,315493981
4.0,14,0.1396238771113238,0,12480.0,315565309
4.0,18,0.13939759673053256,2,-3850.0,315635029
4.0,30,0.13964197399909556,3,13786.0,315749176
4.0,30,0.13715640941949936,3,-165590.0,315816751
7.5,15,0.13923353306191236,2,-15690.0,316039767
7.5,23,0.1394945245482689,2,3145.0,316431196
1.5,13,0.1392149234751761,0,-17033.0,316581321
7.5,31,0.13945209524477947,3,83.0,316592096
1.5,21,0.13962720272622825,4,12720.0,316611144
4.0,14,0.13942007234459522,0,-2228.0,316645332
7.5,15,0.14019948562437137,2,54020.0,317005411
4.0,18,0.141519962592375,2,149315.0,317121267
7.5,15,0.13973703115844816,2,20646.0,317288645
7.5,27,0.14108936474589082,3,118240.0,317401289
0.0,12,0.13945205367459315,0,80.0,317517092
4.0,14,0.13945205367459315,0,80.0,317517092
4.0,18,0.13946780877520304,2,1217.0,317541423
0.0,12,0.14731224149839459,0,567327.0,317576452
7.5,23,0.13996464178520115,2,37072.0,317803633
0.0,28,0.14235591132552705,1,209643.0,317807444
4.0,30,0.13998151928084132,3,38290.0,317841955
4.0,22,0.13944860334912978,2,-169.0,317867455
7.5,31,0.13975066617955645,3,21630.0,317867877
7.5,27,0.13958096282232743,3,9383.0,317922516
7.5,27,0.13954596072545794,3,6857.0,317976413
7.5,19,0.1406790670070526,2,88630.0,317979854
7.5,23,0.14042091615009358,2,70000.0,318006889
7.5,23,0.1406839168621216,2,88980.0,318010014
